,ML Model,Accuracy,ROC score,Precision,Recall,F1-Score,MCC,Kappa Score,Jaccard Score,G-Measure
155,CLN-WSI-EXP-CNV - SVM - Poly,0.559,0.55,0.097,0.538,0.165,0.054,0.032,0.09,0.116
156,CLN-WSI-EXP-CNV - SVM - Utility ,0.565,0.564,0.125,0.562,0.205,0.077,0.05,0.114,0.148
157,CLN-WSI-EXP-CNV - SVM - Linear ,0.559,0.552,0.472,0.507,0.489,0.102,0.102,0.324,0.479
158,CLN-WSI-EXP-CNV - SVM - Sigmoid,0.484,0.485,0.486,0.432,0.458,-0.031,-0.03,0.297,0.474
159,CLN-WSI-EXP-CNV - RF,0.646,0.662,0.375,0.692,0.486,0.279,0.251,0.321,0.413
160,CLN-WSI-EXP-CNV - DT,0.602,0.598,0.556,0.556,0.556,0.196,0.196,0.385,0.556
161,CLN-WSI-EXP-CNV - NB,0.602,0.6,0.583,0.553,0.568,0.2,0.2,0.396,0.577
162,CLN-WSI-EXP-CNV - VGGNets,0.534,0.544,0.486,0.479,0.483,0.059,0.059,0.318,0.485
163,CLN-WSI-EXP-CNV - ResNets,0.565,0.559,0.167,0.545,0.255,0.079,0.058,0.146,0.194
164,CLN-WSI-EXP-CNV - DenseNets,0.522,0.579,0.75,0.478,0.584,0.095,0.083,0.412,0.673
